DIRECTORIO,SECUENCIA_P,ORDEN,CLASE,DPTO,FEX_C18,P3271,P6040,P6030S1,P6030S3,P6050,P6070,P6080,P2057,P6081,P6083,P6090,P6100,P6160,P6170,P3042,INGLABO,P6800,P6430,P6426,RAMA2D_R4,P6920
8238994,1,4,1,70,1133.9662,1,11,7.0,2013.0,3,6.0,6,2,1,1,1,3.0,1.0,1.0,3.0,,,,,,
8238995,1,1,1,70,867.5838,2,35,12.0,1989.0,1,4.0,6,1,3,2,1,3.0,1.0,2.0,5.0,,,,,,
8238995,1,2,1,70,867.5838,1,17,12.0,2007.0,3,6.0,6,2,2,1,1,3.0,1.0,2.0,5.0,300000.0,42.0,1.0,4.0,10.0,2.0
8238995,1,3,1,70,867.5838,1,10,10.0,2014.0,3,6.0,6,2,2,1,1,3.0,1.0,1.0,3.0,,,,,,
8238996,1,1,1,70,1280.2263,1,42,8.0,1982.0,1,6.0,6,1,2,3,1,3.0,2.0,2.0,1.0,0.0,56.0,4.0,0.0,45.0,2.0
8238997,1,1,1,70,1326.8547,2,26,7.0,1998.0,1,4.0,6,2,3,2,1,3.0,1.0,1.0,5.0,,,,,,
8238997,1,2,1,70,1326.8547,2,9,6.0,2015.0,3,,6,2,2,1,1,3.0,1.0,1.0,3.0,,,,,,
8238997,1,3,1,70,1326.8547,1,36,4.0,1989.0,6,2.0,6,2,3,2,1,3.0,1.0,2.0,3.0,1300000.0,44.0,1.0,12.0,77.0,2.0
8238997,1,4,1,70,1326.8547,2,18,1.0,2007.0,13,2.0,6,2,2,2,1,3.0,1.0,1.0,4.0,,,,,,
8238998,1,1,1,70,1169.8945,1,29,11.0,1995.0,1,2.0,6,2,2,1,1,3.0,1.0,2.0,5.0,730000.0,48.0,4.0,36.0,95.0,2.0
8238998,1,2,1,70,1169.8945,2,20,5.0,2005.0,2,2.0,6,2,2,2,1,3.0,1.0,2.0,5.0,,,,,,
8238998,1,3,1,70,1169.8945,2,50,1.0,1975.0,4,4.0,6,2,3,3,1,3.0,1.0,2.0,5.0,,,,,,
8238998,1,4,1,70,1169.8945,1,23,11.0,2001.0,6,6.0,6,2,2,1,1,3.0,1.0,2.0,5.0,80000.0,15.0,4.0,4.0,49.0,2.0
8238999,1,1,1,70,745.041,2,36,9.0,1988.0,1,4.0,6,2,2,2,1,3.0,1.0,2.0,10.0,,,,,,
8238999,1,2,1,70,745.041,1,7,8.0,2017.0,3,,6,2,2,1,1,3.0,1.0,1.0,3.0,,,,,,
8238999,1,3,1,70,745.041,2,2,6.0,2023.0,3,,6,2,2,1,1,3.0,,,,,,,,,
8238999,1,4,1,70,745.041,1,68,9.0,1956.0,13,4.0,6,1,3,3,1,3.0,2.0,2.0,1.0,600000.0,30.0,4.0,12.0,1.0,2.0
8239000,1,1,1,70,1234.9024,2,36,9.0,1988.0,1,3.0,6,2,2,2,1,3.0,1.0,2.0,5.0,40000.0,30.0,4.0,18.0,10.0,2.0
8239000,1,2,1,70,1234.9024,1,36,4.0,1989.0,2,3.0,6,1,2,3,1,3.0,1.0,2.0,4.0,250000.0,35.0,4.0,60.0,1.0,2.0
8239000,1,3,1,70,1234.9024,2,15,9.0,2009.0,3,6.0,6,2,1,1,1,3.0,1.0,1.0,5.0,,,,,,
8239000,1,4,1,70,1234.9024,2,9,4.0,2016.0,3,,6,2,1,1,1,3.0,1.0,1.0,3.0,,,,,,
8239000,1,5,1,70,1234.9024,2,0,11.0,2024.0,3,,6,2,1,1,1,3.0,,,,,,,,,
8239001,1,1,1,70,1144.6309,2,43,5.0,1982.0,1,2.0,6,1,2,2,1,3.0,1.0,2.0,3.0,,,,,,
8239001,1,2,1,70,1144.6309,1,52,10.0,1972.0,2,2.0,6,1,3,2,1,3.0,2.0,2.0,1.0,500000.0,58.0,7.0,36.0,1.0,2.0
8239001,1,3,1,70,1144.6309,2,15,8.0,2009.0,3,6.0,6,1,1,1,1,3.0,1.0,1.0,4.0,,,,,,
8239001,1,4,1,70,1144.6309,2,7,4.0,2018.0,3,,6,2,1,1,1,3.0,1.0,1.0,3.0,,,,,,
8239001,1,5,1,70,1144.6309,2,25,4.0,2000.0,3,4.0,6,1,1,1,1,3.0,1.0,2.0,5.0,250000.0,14.0,4.0,36.0,81.0,2.0
8239001,1,6,1,70,1144.6309,2,4,12.0,2020.0,8,,6,2,2,1,1,3.0,2.0,1.0,2.0,,,,,,
8239001,1,7,1,70,1144.6309,1,20,2.0,2005.0,3,1.0,6,2,1,1,1,3.0,1.0,2.0,5.0,250000.0,35.0,4.0,12.0,49.0,2.0
8239001,1,8,1,70,1144.6309,2,16,12.0,2008.0,7,1.0,6,2,2,2,1,3.0,1.0,2.0,4.0,,,,,,
8239002,1,1,1,70,726.6168,2,38,6.0,1986.0,1,4.0,5,2,2,2,1,2.0,1.0,1.0,10.0,,,,,,
8239002,1,2,1,70,726.6168,1,15,6.0,2010.0,3,6.0,6,2,2,1,1,2.0,1.0,1.0,4.0,,,,,,
8239002,1,3,1,70,726.6168,2,6,11.0,2018.0,3,,6,2,2,1,1,2.0,2.0,1.0,3.0,,,,,,
8239003,1,1,1,70,795.0559,1,60,2.0,1965.0,1,2.0,6,1,3,3,1,3.0,1.0,2.0,3.0,300000.0,45.0,4.0,18.0,56.0,2.0
